Model Indicator Name,Default Indicator Name,Unit of Entry,Note
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|TCU,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Unspecified,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Coke,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|TCU,,EJ,
Final energy demand|PATHWAYS - CEC 2050 1 x AAEE|Unspecified,,EJ,
Final Energy Extended|Coke,,EJ,
Final Energy Extended|Electricity,,EJ,
Final Energy Extended|Fuel Oil,,EJ,
Final Energy Extended|Hydrogen,,EJ,
Final Energy Extended|Kerosene,,EJ,
Final Energy Extended|Conventional Jet Fuel,,EJ,
Final Energy Extended|LPG,,EJ,
Final Energy Extended|Refinery and Process Gas,,EJ,
Final Energy Extended|Waste Heat,,EJ,
Final Energy Extended|Conventional Diesel,,EJ,
Final Energy Extended|Renewable Diesel,,EJ,
Final Energy Extended|Conventional Gasoline / Conventional Ethanol,,EJ,
Final Energy Extended|Renewable Gasoline,,EJ,
Final Energy Extended|Renewable Ethanol,,EJ,
Final Energy Extended|Natural Gas,,EJ,
Final Energy Extended|Biogas,,EJ,
Final Energy Extended|Power to Gas,,EJ,
Final Energy Extended|Total,,EJ,
Final Energy Extended|Total Advanced Biofuels (units below),,EJ,
Final Energy Extended|% Non-Electric Biofuel,,EJ,
Final Energy Extended|hydrogen + electricity,,EJ,
Final Energy Extended|renewable diesel + diesel,,EJ,
Final Energy Extended|ethanol + gasoline,,EJ,
Final Energy Extended|biogas + NG,,EJ,
Final Energy Extended|renewable jet fuel + jet fuel,,EJ,
Generation by resource|CHP,,TWh,
Generation by resource|Nuclear,,TWh,
Generation by resource|Coal,,TWh,
Generation by resource|Natural Gas,,TWh,
Generation by resource|Natural Gas with CCS,,TWh,
Generation by resource|Hydro,,TWh,
Generation by resource|Biomass,,TWh,
Generation by resource|Geothermal,,TWh,
Generation by resource|Solar,,TWh,
Generation by resource|Wind,,TWh,
Generation by resource|Rooftop PV,,TWh,
Generation by resource|Imports,,TWh,
Generation by resource|Total Generation,,TWh,
Generation Portfolio|Curtailment,,TWh,
Generation Portfolio|CHP,Electricity|Generation by technology|Combined Heat and Power,TWh,
Generation Portfolio|Nuclear,Electricity|Generation by technology|Nuclear,TWh,
Generation Portfolio|Coal,Electricity|Generation by technology|Coal,TWh,
Generation Portfolio|Natural Gas,Electricity|Generation by technology|Gas,TWh,
Generation Portfolio|Natural Gas with CCS,Electricity|Generation by technology|Gas w/ CCS,TWh,
Generation Portfolio|Hydro,Electricity|Generation by technology|Hydro,TWh,
Generation Portfolio|Biomass,Electricity|Generation by technology|Biomass,TWh,
Generation Portfolio|Geothermal,Electricity|Generation by technology|Geothermal,TWh,
Generation Portfolio|Solar,Electricity|Generation by technology|Solar,TWh,
Generation Portfolio|Wind,Electricity|Generation by technology|Wind,TWh,
Generation Portfolio|Rooftop PV,Electricity|Generation by technology|Solar PV (distributed),TWh,This includes only rooftop PV
Generation Portfolio|Imports,Electricity|Generation by technology|Imports,TWh,
Generation Portfolio|Dispatchable Biogas,,TWh,
Installed Capacity|CHP,Electricity|Capacity by technology|Combined Heat and Power,GW,
Installed Capacity|Nuclear,Electricity|Capacity by technology|Nuclear,GW,
Installed Capacity|Coal,Electricity|Capacity by technology|Coal,GW,
Installed Capacity|Natural Gas,Electricity|Capacity by technology|Gas,GW,
Installed Capacity|Natural Gas with CCS,Electricity|Capacity by technology|Gas w/ CCS,GW,
Installed Capacity|Hydro,Electricity|Capacity by technology|Hydro,GW,
Installed Capacity|Biomass,Electricity|Capacity by technology|Biomass,GW,
Installed Capacity|Geothermal,Electricity|Capacity by technology|Geothermal,GW,
Installed Capacity|Solar,Electricity|Capacity by technology|Solar,GW,
Installed Capacity|Wind,Electricity|Capacity by technology|Wind,GW,
Installed Capacity|Rooftop PV,Electricity|Capacity by technology|Solar PV (distributed),GW,This includes only rooftop PV
Installed Capacity|Imports,,GW,
Installed Capacity|Storage,Electricity|Capacity by technology|Storage,GW,
Installed Capacity|Total Capacity,Electricity|Capacity by technology|Total,GW,
