Model Indicator Name,Default Indicator Name,Unit of Entry,Note
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|TCU,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref Industry Plus|Unspecified,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Coke,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Diesel,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Gasoline,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Hydrogen,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Kerosene,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|LPG,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Waste Heat,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Wood,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Total,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|TCU,,EJ,
Final energy demand|PATHWAYS - Current Policy Reference|Unspecified,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Coke,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Ref LDV VMT Plus|Petroleum Refining,,EJ,
